,Game,Platform,Content_Descriptor,Interactive_Elements,Ratings_Summary
0,Horse Tales: Emerald Valley Ranch,"PlayStation 4, PlayStation 5, Nintendo Switch",No Descriptors,No Interactive Elements,"This is an adventure/management game in which players can customize their stable while exploring an island and taking care of horses. Players can tame, breed, and train horses, as well as compete in obstacle races."
1,Airborne Kingdom,"PlayStation 4, Nintendo Switch",No Descriptors,No Interactive Elements,No Rating Summary
2,DARQ Ultimate Edition,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Mild Blood,Mild Language,Use of Tobacco,Violence",No Interactive Elements,"This is a puzzle platformer in which players assume the role of a boy trying to escape a lucid dream. From a 2D perspective, players traverse black-and-white, nightmarish levels while solving puzzles and avoiding creatures. Monsters will often attack players—slamming and/or pouncing on them; firing flintlock pistols to kill players. The game contains a comic book with sequences that depict additional violence and blood: a boy lying in a pool of blood after falling from a tower; blood underneath bodies flung from a train; a child with a bloodied face. A handful of comic-book panels depict characters smoking cigarettes. The word “bastard” appears in the game."
3,The Outbound Ghost,"PlayStation 4, PlayStation 5, Nintendo Switch",Fantasy Violence,No Interactive Elements,"This is an adventure role-playing game in which players help a village of ghosts while trying to regain their character's memories. From a sideways perspective, players explore environments, interact with ghosts, and battle hostile apparitions. Combat is turn-based, as players select attack moves/skills from a menu and view characters performing actions in short animations. Battles include impact sounds, screen-shaking effects, and dwindling hit points. The dialogue/game text makes several references to a “serial killer” that has wiped out the town's inhabitants."
4,Apico,"PlayStation 4, PlayStation 5, Nintendo Switch",No Descriptors,No Interactive Elements,No Rating Summary
5,SIFU,Nintendo Switch,"Blood,Drug Reference,Strong Language,Violence",No Interactive Elements,"This is an action game in which players assume the role of a martial artist on a quest for vengeance against a gang. As players infiltrate the gang's hideout, they use punches and kicks to defeat gang members in frenetic melee-style combat. Players can pick up various objects (e.g., pipes, bottles, baseball bats) to use as weapons against enemies. Combat is highlighted by cries of pain, impact sounds, and close-up camera angles of finishing blows. Enemies sometimes emit splashes of blood when hit, leaving small blood stains on the ground. One cutscene depicts a character stabbed with a knife and bleeding out. In a hideout level, players can encounter a drug called Purple Mist, which is depicted as a mound of purple powder and cut lines; text and dialogue also reference drugs (e.g., “The drug produced here”; “Junkies. I don't think they'll be a problem.)."
6,Sonic Frontiers,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",Fantasy Violence,No Interactive Elements,"This is an action platformer in which players follow Sonic and his friends as they battle mechanical Titans. From an overhead perspective, players zoom through an alternate dimension while collecting items (e.g., rings, power-ups) and battling enemies (e.g., bouncing on them). Boss battles prompt players to climb giant robots while targeting weak spots and engaging in timed button presses for specific actions (e.g., energizing a punch, prying a robot's jaw open, pushing back against a giant sword). Some sequences depict slow-motion effects and explosions."
7,Romancing SaGa -Minstrel Song- Remastered,Windows PC,"Fantasy Violence,Mild Blood,Partial Nudity",No Interactive Elements,"This is a role-playing game in which players follow eight storylines surrounding a group of fighters battling monsters in a fantastical world. As players explore various environments interacting with characters, they can engage in turn-based battles using melee attacks, weapons (e.g., swords, spears), and magical attacks to deplete enemies' health bars. After selecting attacks/spells/actions from a menu, characters are depicted briefly striking enemy creatures (e.g., zombies, demons, monsters). Gallery images sometimes contain bloodstains and occasional depictions of breasts with minimal coverage."
8,Valis: The Fantasm Soldier Collection II,Nintendo Switch,"Fantasy Violence,Mild Blood,Suggestive Themes",No Interactive Elements,"This is a collection of three side-scrolling action/platformer games in which players control warriors as they battle monsters and demons. Players use swords and magic to defeat enemies, some of whom use boomerangs, blades, and fiery attacks. Cutscenes depict further instances of violence and occasional blood: two characters slashed, resulting in small blood-splatter effects; a character impaled by a spear, with blood around the wound. Some female characters are designed in a suggestive manner (e.g., deep cleavage, bikini tops; small harpies and demons that appear nude, though with no discernible detail); character profiles sometimes reference characters' body parts (e.g., “Her classmates tell her she has a bigger bust than most of them”; “She thinks her butt is her worst feature, so she rarely wears jeans”)."
9,Anno : Mutationem,"PlayStation 4, PlayStation 5, Nintendo Switch","Blood,Language,Suggestive Themes,Use of Alcohol and Tobacco,Violence",No Interactive Elements,"This is an action-adventure game in which players assume the role of a private investigator (Ann) on a quest to find her missing brother. From a 2D side view, players explore futuristic city environments, interact with characters, perform quests/tasks, and battle enemies in melee-style combat. Players use swords and explosives to defeat enemies (e.g., thugs, dragons, androids). Battles are frenetic at times, highlighted by explosions and cries of pain. Additional depictions of violence and blood include a body hanging by a noose; a blood-stained corpse; and bloodstained floors. A night club depicts female dancers with jiggling breasts; one character in the club can proposition Ann (e.g., “What? You got no money? Well, if you could accompany me to my residence…”). Some characters are seen smoking cigarettes, and a mini-game set in a bar depicts patrons consuming alcoholic drinks created by players' character. The word “a*shole” appears in the game."
10,Senren*Banka,Nintendo Switch,"Mild Violence,Partial Nudity,Sexual Themes,Strong Language",No Interactive Elements,No Rating Summary
11,Medieval Dynasty,"PlayStation 5, Xbox Series","Blood,Mild Language,Suggestive Themes,Use of Alcohol,Violence",No Interactive Elements,No Rating Summary
12,They Always Run,"PlayStation 4, Nintendo Switch","Blood,Strong Language,Violence",No Interactive Elements,"This is an action platformer in which players assume the role a bounty hunter (Aiden) on missions to capture criminals across the galaxy. Players traverse 2D platform levels while using punches, kicks, swords, and pistols to battle enemies in melee-style combat. Battles are often frenetic, highlighted by sword slashes and close-up slow-motion effects. Blood-splatter effects are frequently depicted as enemies are hit and killed. One sequence depicts a bound character shot in the head at close range. The words “f**k” and “sh*t” appear in the game."
13,Windstorm: An Unexpected Arrival,"PlayStation 4, Nintendo Switch","Mild Language,Mild Violence",No Interactive Elements,"This is an adventure game in which players follow a teenager working on a horse ranch. Players care for horses, learn about the mysteries and challenges of the ranch, and encounter some scenes of mild violence and peril: a character punching a man off screen; a woman fleeing from a large fire; a character shooting arrows at a villain's car tires, causing the vehicle to crash. The words “damn” and “hell” appear in the game."
14,New Joe & Mac: Caveman Ninja,"PlayStation 4, PlayStation 5, Nintendo Switch","Fantasy Violence,Mild Blood,Mild Suggestive Themes",No Interactive Elements,"This is an action platformer in which players assume the roles of cavemen Joe and Mac as they try to rescue their village's women from Neanderthals. From a sideways perspective, players traverse whimsical environments while using elemental attacks (e.g., fire) and weapons (e.g., rocks, boomerangs, fangs) to defeat enemies (e.g., Neanderthals, dinosaurs). Fire and electrical attacks result in cartoonishly charred enemies; enemies also react to damage with bugged-out eyes and exaggerated features. One stage depicts dinosaur skeletons with flesh and mild bloodstains on the bones. The game includes some mildly suggestive content: men dragging women by the hair; men with their tongues hanging out ogling women in revealing outfits (e.g., short skirts, halter tops); women in bikinis kissing players' character on the cheek."
15,The Chant,"Windows PC, PlayStation 5, Xbox Series","Blood and Gore,Strong Language,Use of Drugs,Violence",No Interactive Elements,"This is a horror/action-adventure game in which players assume the role of a woman (Jess) trying to survive and uncover the secrets behind a strange island. From a third-person perspective, players explore the island, search for survivors, and battle various enemies (e.g., mutated creatures, plant monsters, infected cultists). Players use holistic weapons (e.g., salt, sage sticks, fire oil) and spiritual powers (e.g., repel, crystallize, swarm) to defeat enemy creatures in melee-style combat. Combat is accompanied by cries of pain, impact sounds, and frequent blood-splatter effects. Defeat/death animations include players' character impaled on objects (e.g., a spike, a creature's horns), and getting her eye gouged out by a monster. Some areas depict large blood stains amid flayed bodies, and animals with exposed entrails. During the course of the game, players' character can consume tea laced with psychedelic mushrooms, resulting in hallucination effects on screen. The words “f**k” and “sh*t” are heard in the game."
16,Mato Anomalies,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Drug Reference,Fantasy Violence,Language,Mild Blood,Mild Suggestive Themes,Use of Alcohol and Tobacco",No Interactive Elements,"This is a role-playing game in which players lead heroes on a quest to defeat mythical creatures. Players explore city environments, interact with characters, solve puzzles, and battle monsters in turn-based combat. Players select attack moves from a menu and watch characters perform actions in short animated sequences. Players use swords, pistols, shotguns, and magic to defeat enemy creatures. Battles are highlighted by impact sounds and screen-shaking effects. A handful of still-images depict splatters of blood on the screen and on characters' clothing. Some female characters are designed with revealing costumes (e.g., low-cut outfits, deep cleavage); one character refers to another as a ""whore."" The game depicts characters consuming alcohol and getting drunk (e.g., flushed faces, slurred speech); one sequence depicts a man smoking a cigar. A fantasy drug, a plant causing hallucinations, is often described in the game, along with other drug references: “Creating addicts to then become…their best customers? That's a pretty sweet trade racket”; “This is one weird trip”; “I made a powder...and I swear It's still a pretty good buzz”; “The hallucinogenic stuff…”; ""What kind of drugs are you taking?"" The word “sh*t” appears in the game."
17,My Universe - My Baby Dragon,Nintendo Switch,No Descriptors,No Interactive Elements,"This is a pet simulation game in which players raise and care for a baby dragon. Players can feed and interact with the dragon while engaging in training activities (e.g., flying lessons, magic training)."
